time(s)	origin signal	filtered signal
0.345	1.27688		0.0261534
0.346	0.843981		0.304166
0.347	0.437681		0.553885
0.348	0.0519345		0.762929
0.349	0.00145062		0.915608
0.35	0.0364315		0.992075
0.351	0.0429447		0.973026
0.352	-0.0666078		0.848061
0.353	-0.388363		0.623245
0.354	-0.936922		0.323871
0.355	-1.33125		-0.010162
0.356	-1.42141		-0.333981
0.357	-1.21947		-0.608813
0.358	-0.740374		-0.809606
0.359	-0.111545		-0.926411
0.36	0.44242		-0.95987
0.361	0.773841		-0.914474
0.362	0.755946		-0.793924
0.363	0.606895		-0.601191
0.364	0.485399		-0.343166
0.365	0.540572		-0.0365895
0.366	0.740419		0.288743
0.367	0.96405		0.592717
0.368	1.0126		0.833327
0.369	0.811271		0.977491
0.37	0.323711		1.0097
0.371	-0.331623		0.934453
0.372	-1.00856		0.771779
0.373	-1.29501		0.548378
0.374	-1.30309		0.289158
0.375	-1.02463		0.0128285
0.376	-0.645129		-0.26647
0.377	-0.274485		-0.533927
0.378	-0.245912		-0.768705
0.379	-0.25357		-0.943336
0.38	-0.286558		-1.02866
0.381	-0.201898		-1.0031
0.382	0.170426		-0.861795
0.383	0.657228		-0.620833
0.384	1.17307		-0.314306
0.385	1.43659		0.0148085
0.386	1.43427		0.325928
0.387	0.95655		0.589478
0.388	0.382148		0.789063
0.389	-0.114586		0.918052
0.39	-0.436005		0.973161
0.391	-0.52093		0.949522
0.392	-0.439061		0.840878
0.393	-0.375331		0.644723
0.394	-0.4738		0.36961
0.395	-0.670442		0.0400986
0.396	-1.04087		-0.304196
0.397	-1.15792		-0.616508
0.398	-1.11385		-0.854191
0.399	-0.676336		-0.989509
0.4	0.00424055		-1.01445
0.401	0.699774		-0.938804
0.402	1.04218		-0.782676
0.403	1.15242		-0.567937
0.404	1.01619		-0.312713
0.405	0.698788		-0.0315432
0.406	0.41938		0.260253
0.407	0.362733		0.541419
0.408	0.502594		0.782987
0.409	0.52317		0.952166
0.41	0.440183		1.02072
0.411	0.105906		0.974396
0.412	-0.360559		0.818566
0.413	-1.03507		0.577264
0.414	-1.44876		0.285936
0.415	-1.51966		-0.0184921
0.416	-1.20829		-0.305981
0.417	-0.643202		-0.556565
0.418	-0.175761		-0.757872
0.419	0.175405		-0.899752
0.42	0.338509		-0.969841
0.421	0.280069		-0.953811
0.422	0.205951		-0.840758
0.423	0.344213		-0.631012
0.424	0.628136		-0.341818
0.425	0.989769		-0.00770148
0.426	1.26925		0.326204
0.427	1.25846		0.61517
0.428	0.975601		0.825689
0.429	0.417164		0.941422
0.43	-0.304023		0.962511
0.431	-0.826051		0.899131
0.432	-1.00139		0.763786
0.433	-0.957848		0.566561
0.434	-0.691779		0.31557
0.435	-0.479944		0.0222592
0.436	-0.505093		-0.292687
0.437	-0.585932		-0.596864
0.438	-0.82113		-0.849965
0.439	-0.717333		-1.01315
0.44	-0.465373		-1.06005
0.441	0.0967558		-0.984894
0.442	0.719798		-0.803565
0.443	1.19542		-0.547463
0.444	1.41443		-0.253249
0.445	1.28219		0.0468242
0.446	0.838817		0.329745
0.447	0.415552		0.580304
0.448	0.0469966		0.786047
0.449	-0.0172633		0.9319
0.45	0.0355098		0.999366
0.451	-0.0102583		0.97084
0.452	-0.0576659		0.837516
